,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone,firstIntentionConsistFinalGoal
0,0,csz,"[2272, 2514, 2695, 2873, 3054, 3218, 3391, 3575, 3964]","[(3, 10), [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [9, 10], [10, 11], [11, 11], [11, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 2, 2, 0]",1,"(3, 10)","(9, 6)","(11, 10)",straightLine,2.0,8.0,2.0,6.0,1
1,1,csz,"[1636, 1994, 2189, 2365, 2511, 2712]","[(6, 4), [7, 4], [7, 5], [7, 6], [7, 7], [8, 7], [8, 8]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1)]",[],"[2, 0, 0, 0, 2, 0]",0,"(6, 4)","(6, 12)","(8, 8)",straightLine,2.0,6.0,2.0,4.0,1
2,2,csz,"[1686, 1880, 2037, 2220, 2386, 2686, 2868, 3047, 3236, 3614, 3921, 4092]","[(3, 8), [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [8, 9], [7, 8], [7, 7], [8, 7], [8, 6], [9, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]","[7, 8]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]",2,"(3, 8)","(9, 6)","(11, 8)",straightLine,0.0,8.0,2.0,6.0,1
3,3,csz,"[1591, 1888, 2119, 2311, 2465, 2657, 2821, 2987, 3171, 3341, 3533, 3695, 4137, 4272, 4490]","[(3, 1), [4, 1], [5, 1], [5, 2], [5, 3], [6, 3], [7, 3], [8, 3], [9, 3], [10, 3], [11, 3], [12, 3], [12, 5], [13, 5], [13, 4], [13, 3]]","[(1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[12],"[0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",1,"(3, 1)","(5, 13)","(13, 3)",rect,2.0,12.0,4.0,8.0,1
4,4,csz,"[1593, 1786, 1998, 2313, 2478, 2652, 2803, 2995, 3165, 3275, 3470, 3635, 3803, 3969]","[(1, 2), [3, 2], [4, 2], [5, 2], [5, 3], [5, 4], [6, 3], [6, 4], [6, 5], [6, 6], [7, 6], [8, 6], [9, 6], [10, 6], [11, 6]]","[(1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[1, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2,"(1, 2)","(11, 6)","(5, 12)",expRect,0.0,14.0,6.0,2.0,1
5,5,csz,"[1847, 2028, 2215, 2414, 2532, 2658, 2830, 2973, 3111, 3247, 3364]","[(13, 13), [12, 13], [11, 13], [11, 12], [11, 11], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,"(13, 13)","(6, 9)","(10, 5)",expRect,0.0,11.0,4.0,2.0,1
6,6,csz,"[1825, 2009, 2181, 2365, 2638, 2898, 3122, 3305, 3500, 3700, 3850, 4006, 4110, 4266, 4521, 4688]","[(2, 5), [1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [5, 5], [5, 6], [4, 7], [4, 8], [4, 9], [5, 9], [6, 9], [6, 10], [7, 10], [8, 10], [9, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]","[1, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",2,"(2, 5)","(9, 10)","(7, 12)",expRect,0.0,12.0,2.0,2.0,1
7,7,csz,"[1566, 1861, 2010, 2207, 2369, 2533, 2682, 2839]","[(9, 7), [10, 7], [9, 7], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13]]","[(1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[2, 1, 1, 1, 1, 1, 1, 1]",0,"(9, 7)","(9, 13)","(13, 1)",none,4.0,6.0,6.0,0.0,0
8,8,csz,"[1551, 1749, 1942, 2114, 2312, 2497, 2673, 2864, 3004, 3170, 3352, 3522, 3714]","[(3, 1), [4, 1], [5, 1], [6, 1], [7, 1], [7, 2], [7, 3], [7, 5], [7, 6], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",1,"(3, 1)","(12, 6)","(8, 10)",expRect,0.0,14.0,4.0,2.0,1
9,9,csz,"[1817, 2025, 2175, 2363, 2523, 2701, 2872, 3066, 3743, 4008, 4170]","[(8, 3), [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [10, 9], [10, 10], [11, 10], [11, 9], [12, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, -1), (1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2]",1,"(8, 3)","(8, 13)","(12, 9)",straightLine,0.0,10.0,4.0,6.0,0
