,distanceDiff,index,playerGrid,target1,target2
0,0.0,0.0,"(1, 1)","(1, 10)","(10, 1)"
0,0.0,1.0,"(1, 1)","(1, 11)","(11, 1)"
0,0.0,2.0,"(1, 1)","(1, 12)","(12, 1)"
0,0.0,3.0,"(1, 1)","(1, 13)","(13, 1)"
0,0.0,4.0,"(1, 2)","(1, 11)","(9, 1)"
0,0.0,5.0,"(1, 2)","(1, 11)","(10, 2)"
0,0.0,6.0,"(1, 2)","(1, 12)","(10, 1)"
0,0.0,7.0,"(1, 2)","(1, 12)","(11, 2)"
0,0.0,8.0,"(1, 2)","(1, 13)","(11, 1)"
0,0.0,9.0,"(1, 2)","(1, 13)","(12, 2)"
0,0.0,10.0,"(1, 3)","(1, 12)","(8, 1)"
0,0.0,11.0,"(1, 3)","(1, 12)","(9, 2)"
0,0.0,12.0,"(1, 3)","(1, 12)","(10, 3)"
0,0.0,13.0,"(1, 3)","(1, 13)","(9, 1)"
0,0.0,14.0,"(1, 3)","(1, 13)","(10, 2)"
0,0.0,15.0,"(1, 3)","(1, 13)","(11, 3)"
0,0.0,16.0,"(1, 4)","(1, 13)","(7, 1)"
0,0.0,17.0,"(1, 4)","(1, 13)","(8, 2)"
0,0.0,18.0,"(1, 4)","(1, 13)","(9, 3)"
0,0.0,19.0,"(1, 4)","(1, 13)","(10, 4)"
0,0.0,20.0,"(2, 1)","(2, 10)","(11, 1)"
0,0.0,21.0,"(2, 1)","(2, 11)","(12, 1)"
0,0.0,22.0,"(2, 1)","(2, 12)","(13, 1)"
0,0.0,23.0,"(2, 2)","(2, 11)","(10, 1)"
0,0.0,24.0,"(2, 2)","(2, 11)","(11, 2)"
0,0.0,25.0,"(2, 2)","(2, 12)","(11, 1)"
0,0.0,26.0,"(2, 2)","(2, 12)","(12, 2)"
0,0.0,27.0,"(2, 2)","(2, 13)","(12, 1)"
0,0.0,28.0,"(2, 2)","(2, 13)","(13, 2)"
0,0.0,29.0,"(2, 3)","(2, 12)","(9, 1)"
0,0.0,30.0,"(2, 3)","(2, 12)","(10, 2)"
0,0.0,31.0,"(2, 3)","(2, 12)","(11, 3)"
0,0.0,32.0,"(2, 3)","(2, 13)","(10, 1)"
0,0.0,33.0,"(2, 3)","(2, 13)","(11, 2)"
0,0.0,34.0,"(2, 3)","(2, 13)","(12, 3)"
0,0.0,35.0,"(2, 4)","(2, 13)","(8, 1)"
0,0.0,36.0,"(2, 4)","(2, 13)","(9, 2)"
0,0.0,37.0,"(2, 4)","(2, 13)","(10, 3)"
0,0.0,38.0,"(2, 4)","(2, 13)","(11, 4)"
0,0.0,39.0,"(3, 1)","(3, 10)","(12, 1)"
0,0.0,40.0,"(3, 1)","(3, 11)","(13, 1)"
0,0.0,41.0,"(3, 2)","(3, 11)","(11, 1)"
0,0.0,42.0,"(3, 2)","(3, 11)","(12, 2)"
0,0.0,43.0,"(3, 2)","(3, 12)","(12, 1)"
0,0.0,44.0,"(3, 2)","(3, 12)","(13, 2)"
0,0.0,45.0,"(3, 2)","(3, 13)","(13, 1)"
0,0.0,46.0,"(3, 3)","(3, 12)","(10, 1)"
0,0.0,47.0,"(3, 3)","(3, 12)","(11, 2)"
0,0.0,48.0,"(3, 3)","(3, 12)","(12, 3)"
0,0.0,49.0,"(3, 3)","(3, 13)","(11, 1)"
0,0.0,50.0,"(3, 3)","(3, 13)","(12, 2)"
0,0.0,51.0,"(3, 3)","(3, 13)","(13, 3)"
0,0.0,52.0,"(3, 4)","(3, 13)","(9, 1)"
0,0.0,53.0,"(3, 4)","(3, 13)","(10, 2)"
0,0.0,54.0,"(3, 4)","(3, 13)","(11, 3)"
0,0.0,55.0,"(3, 4)","(3, 13)","(12, 4)"
0,0.0,56.0,"(4, 1)","(4, 10)","(13, 1)"
0,0.0,57.0,"(4, 2)","(4, 11)","(12, 1)"
0,0.0,58.0,"(4, 2)","(4, 11)","(13, 2)"
0,0.0,59.0,"(4, 2)","(4, 12)","(13, 1)"
0,0.0,60.0,"(4, 3)","(4, 12)","(11, 1)"
0,0.0,61.0,"(4, 3)","(4, 12)","(12, 2)"
0,0.0,62.0,"(4, 3)","(4, 12)","(13, 3)"
0,0.0,63.0,"(4, 3)","(4, 13)","(12, 1)"
0,0.0,64.0,"(4, 3)","(4, 13)","(13, 2)"
0,0.0,65.0,"(4, 4)","(4, 13)","(10, 1)"
0,0.0,66.0,"(4, 4)","(4, 13)","(11, 2)"
0,0.0,67.0,"(4, 4)","(4, 13)","(12, 3)"
0,0.0,68.0,"(4, 4)","(4, 13)","(13, 4)"
0,0.0,69.0,"(5, 2)","(5, 11)","(13, 1)"
0,0.0,70.0,"(5, 3)","(5, 12)","(12, 1)"
