,Unnamed: 0,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,areaType,distanceDiff,minDis,intentionedDisToTargetMin,avoidCommitmentZone
0,0,softmaxBeta-1_5,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]","[(3, 1), [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [11, 2], [11, 3], [11, 4], [12, 4], [12, 5], [13, 5], [13, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0]",0,"(3, 1)","(13, 6)","(7, 12)",expRect,0.0,15.0,6.0,29.0
1,1,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2]","[(1, 5), [1, 6], [0, 6], [0, 7], [0, 5], [0, 6], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [1, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[2, 4]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",2,"(1, 5)","(1, 11)","(7, 5)",none,0.0,6.0,6.0,0.0
2,2,softmaxBeta-1_5,"[0, 1, 1, 1, 1, 1, 1, 1, 1]","[(6, 2), [6, 3], [6, 4], [6, 5], [6, 6], [8, 6], [8, 7], [7, 7], [7, 8], [6, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[5],"[0, 0, 0, 0, 1, 1, 1, 1, 1]",1,"(6, 2)","(6, 8)","(12, 6)",straightLine,4.0,6.0,2.0,4.0
3,3,softmaxBeta-1_5,"[0, 0, 1, 1, 1, 1, 1, 1, 1]","[(1, 7), [1, 8], [0, 7], [0, 8], [0, 9], [0, 10], [0, 11], [0, 12], [0, 13], [1, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[2],"[1, 1, 1, 1, 1, 1, 1, 1, 0]",1,"(1, 7)","(1, 13)","(8, 6)",none,2.0,6.0,6.0,0.0
4,4,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(2, 5), [3, 5], [4, 5], [5, 5], [6, 5], [6, 4], [6, 3], [7, 3], [7, 2], [8, 2], [8, 1], [9, 1]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0]",0,"(2, 5)","(9, 1)","(10, 12)",midLine,4.0,11.0,4.0,7.0
5,5,softmaxBeta-1_5,"[1, 1, 1, 1, 1, 1, 1, 2, 2]","[(6, 4), [6, 5], [6, 6], [6, 7], [6, 8], [8, 8], [9, 7], [9, 8], [9, 9], [8, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]","[6, 5]","[0, 0, 0, 0, 2, 0, 0, 0, 0]",2,"(6, 4)","(6, 13)","(8, 9)",straightLine,2.0,7.0,2.0,5.0
6,6,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4]","[(12, 2), [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [12, 10], [12, 11], [14, 11], [13, 11], [12, 11], [13, 12], [12, 12], [11, 12], [10, 12], [10, 13], [9, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]","[10, 13]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",2,"(12, 2)","(9, 13)","(3, 7)",expRect,0.0,14.0,6.0,23.0
7,7,softmaxBeta-1_5,"[0, 1, 1, 1, 1]","[(5, 3), [5, 4], [5, 5], [5, 6], [5, 8], [5, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[4],"[1, 1, 1, 1, 1]",1,"(5, 3)","(5, 9)","(13, 3)",none,2.0,6.0,6.0,0.0
8,8,softmaxBeta-1_5,"[0, 0, 1, 1, 1, 1, 1, 1]","[(13, 4), [13, 5], [13, 6], [13, 7], [12, 7], [11, 7], [10, 7], [10, 8], [10, 9]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,"(13, 4)","(10, 9)","(8, 7)",expRect,0.0,8.0,2.0,15.0
9,9,softmaxBeta-1_5,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]","[(12, 13), [11, 13], [10, 14], [9, 14], [8, 14], [7, 14], [6, 14], [5, 14], [4, 14], [4, 13], [4, 12], [4, 11], [3, 11], [3, 13], [3, 12], [3, 11], [3, 10], [2, 10], [2, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]","[13, 2]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",2,"(12, 13)","(2, 9)","(8, 3)",expRect,0.0,14.0,6.0,24.0
