,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,width,height,direction
0,test,11,6,6,11,1,1,"[1948, 2159, 2327, 2512, 3415, 3591, 3768, 3894, 4123, 4308, 4503, 4766, 5020, 5270, 5459, 5637, 6047]","[(1, 1), [1, 2], [1, 3], [1, 4], [1, 5], [0, 5], [0, 6], [1, 6], [2, 6], [3, 6], [4, 6], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [6, 11]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[5, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0]",2,5,5,45
1,test,11,7,6,12,2,2,"[1792, 2000, 2194, 2591, 2785, 2967, 3110, 3250, 3408, 3556, 3699, 3850, 3989, 4121, 4634, 4869]","[(2, 2), [3, 2], [4, 2], [5, 2], [6, 2], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11], [5, 12], [6, 12]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[14],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0]",1,4,5,45
2,test,1,7,5,3,10,13,"[1602, 1852, 2045, 2208, 2383, 2542, 2760, 2924, 3128, 3288, 3424, 3606, 3781, 3896, 4064, 4218, 4571]","[(10, 13), [11, 13], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [6, 12], [6, 11], [6, 10], [5, 10], [5, 9], [5, 8], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7]]","[(1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",0,5,6,225
3,test,10,7,5,12,1,1,"[1859, 2034, 2211, 2383, 2581, 2763, 2961, 3142, 3316, 3485, 3650, 3823, 3983, 4143, 4316, 4482, 4643]","[(1, 1), [0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,4,6,45
4,test,7,13,1,7,11,2,"[2151, 2355, 2575, 2761, 2935, 3114, 3295, 3497, 3690, 3968, 4166, 4329, 4509, 4684, 4831, 5005, 5189, 5356, 5534]","[(11, 2), [12, 2], [13, 2], [12, 2], [11, 2], [10, 2], [9, 2], [8, 2], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13]]","[(1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",0,4,5,135
5,test,6,13,1,8,12,3,"[1595, 1766, 1927, 2118, 2328, 2449, 2646, 2827, 2994, 3187, 3388, 3586, 3954, 4224, 4405, 4561, 4756, 4942, 5112, 5285]","[(12, 3), [11, 3], [10, 3], [9, 3], [8, 3], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [8, 8], [7, 8], [6, 8], [6, 9], [6, 10], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[16, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",2,6,5,135
6,test,12,8,7,13,2,2,"[1509, 1731, 1939, 2140, 2320, 2583, 2787, 2974, 3152, 3331, 3551, 3714, 3912, 4079, 4269, 4477, 5108, 5421]","[(2, 2), [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 11], [7, 12], [7, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[16],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2]",1,5,6,45
7,test,11,6,7,2,2,10,"[1542, 1886, 2087, 2315, 2577, 2849, 3033, 3201, 3670, 3874, 4129, 4408, 4601, 4822, 5486, 5781, 5976]","[(2, 10), [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [7, 9], [6, 9], [6, 8], [6, 7], [6, 6], [7, 6], [7, 5], [6, 5], [6, 4], [6, 3], [6, 2], [7, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]","[13, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0]",2,5,4,315
8,test,12,7,7,12,1,1,"[1597, 1855, 2032, 2201, 2383, 2724, 2923, 3093, 3252, 3434, 3602, 3785, 3971, 4153, 4350, 4581, 4865]","[(1, 1), [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",0,6,6,45
0,test,11,9,7,5,1,13,"[1655, 1937, 2495, 2869, 3217, 3428, 3620, 3902, 4089, 4240, 4516, 4672, 4934, 5107, 5415, 5606, 6465, 6621, 6786, 6953, 7408, 7574, 7741, 7893, 8035, 8164, 8323, 8487, 8649]","[(1, 13), [1, 13], [0, 13], [-1, 13], [-2, 13], [-1, 13], [0, 13], [1, 13], [0, 13], [-1, 13], [-2, 13], [-3, 13], [-2, 13], [-1, 13], [0, 13], [1, 13], [2, 13], [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",None,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",special,6,4,315
